Group,DavisPerspective,WattsSelf,WattsOthers,WattsWorld,WattsTotal,Duration,Manual,Emerged,DavisPerspective_std,WattsSelf_std,WattsOthers_std,WattsWorld_std,WattsTotal_std,Psi_max,Psi_min,Psi_avg,Psi_std
A_1,3.2777777777777777,51.5,65.53703703703702,34.74603174603175,50.59435626102293,76.5,0.0,1.0,0.4321936871588416,25.01568952122292,20.922107157292608,27.61070276232531,11.810010793613623,,,,
A_10,,,,,,95.0,0.0,1.0,,,,,,2.969729755647036,-9.245993881007852,-1.7496474853652777,3.178456386163935
A_2,3.2714285714285714,43.0,62.61666666666666,43.542857142857144,49.71984126984127,243.16666666666666,1.0,0.0,0.4121180290175011,27.927927524298486,18.74076727417241,18.48352824345316,14.286027357925565,2.176130696950098,-25.00976383083817,-6.113833481461996,5.061058852704957
A_3,3.0857142857142854,47.43333333333333,87.86666666666665,31.228571428571428,55.509523809523806,47.916666666666664,0.0,1.0,0.7185586479976739,8.276137048432947,7.775852936423677,7.1497109974417015,5.115466940135677,2.8263720614929118,-5.946373421688436,-0.268984454534898,2.459303455707135
A_4,3.2244897959183674,45.357142857142854,64.66666666666667,35.44897959183673,48.49092970521542,66.16666666666667,0.0,1.0,0.28400851353943,19.859792941049907,13.062882104990798,29.596197192224047,13.1721012067537,2.5988826500053683,-14.574287838695438,-3.683444814394725,4.194033452329967
A_5,3.4603174603174605,51.94444444444444,68.98148148148148,41.74603174603175,54.22398589065256,183.66666666666666,1.0,0.0,0.4671765921511563,16.955824957813167,17.158259358033114,17.670853694566787,11.505611955823218,-0.1114002391445954,-12.512812924310523,-5.490027182432497,2.5185775888801016
A_6,3.253968253968254,33.81481481481481,70.88888888888889,20.666666666666668,41.79012345679012,195.66666666666666,0.0,1.0,0.629940788348712,19.056831023073467,7.194712564716463,6.166896484042678,8.535183057335875,3.2638661264645554,-15.952846896855128,-3.977655851362436,4.13817353671731
A_7,3.321428571428571,35.041666666666664,62.666666666666664,28.357142857142858,42.0218253968254,14.416666666666666,1.0,0.0,0.5701516344775098,24.641356061942464,14.677214821642249,19.428121243283712,8.997870898386333,,,,
A_8,3.1142857142857148,27.333333333333325,70.66666666666666,23.714285714285715,40.57142857142857,312.75,0.0,0.0,0.6177642374411331,20.159089485611418,8.383184226639527,22.691363096642597,15.965741068960071,1.3214090822927005,-14.035157706326046,-4.442354368641455,3.5113999418382433
A_9,3.142857142857143,33.05555555555556,58.74074074074073,35.95238095238095,42.58289241622575,345.0833333333333,0.0,0.0,0.7284313590846834,31.584322763745377,16.461257358633343,30.98098495160263,17.87804205205728,1.0760374438949611,-17.390407196651832,-4.6584555051903775,3.227227554962495
B_1,3.0119047619047614,33.27777777777778,62.77777777777778,28.523809523809522,41.52645502645503,210.33333333333334,0.0,1.0,0.6797608623126022,30.735731408007602,21.925800800443774,22.64124224374926,20.627142408662863,3.1799540571844163,-18.94375453875756,-3.593588430514362,4.7661193492108245
B_10,4.1190476190476195,49.194444444444436,69.1388888888889,44.904761904761905,54.41269841269841,277.0,0.0,1.0,0.4464523803174942,27.98221988387679,18.478340674261695,41.265854508289536,27.334151398999968,,,,
B_2,3.714285714285714,25.972222222222218,49.638888888888886,13.357142857142856,29.656084656084655,89.33333333333333,0.0,0.0,0.5268311118453078,14.514520188290629,14.333494831131524,9.20680759668893,8.283414609203952,0.3624219684912386,-12.061247457948433,-5.136176130245909,3.4627913269622517
B_3,2.8333333333333335,45.80555555555555,68.19444444444444,32.73809523809524,48.91269841269841,169.0,0.0,1.0,0.8152458833628882,29.405293678116806,29.825495556405848,27.790824600446623,22.65512021948315,3.341203744580761,-22.11458346577177,-7.184505284011489,5.591133555189676
B_4,3.4489795918367347,58.8095238095238,61.547619047619044,47.40816326530613,55.92176870748299,374.0833333333333,0.0,0.0,0.5435369892636239,21.68726127447405,12.911634964647874,14.569894543768013,8.21470160817591,1.4133598708663204,-24.003745966853653,-5.674396132030272,4.918688085970676
B_5,3.095238095238095,48.61111111111111,78.88888888888889,33.33333333333333,53.611111111111114,335.75,0.0,0.0,0.16495721976846445,27.161212813154744,17.023948273382832,27.45435296266585,18.076213544178284,-0.8416478895931974,-27.63530470684184,-11.024941002122771,6.012446816271229
B_6,3.7380952380952386,49.513888888888886,61.02777777777778,47.02380952380952,52.5218253968254,225.91666666666666,0.0,1.0,0.6286796443643577,26.90313987595472,23.449808496414605,35.307444629405055,18.13925371977039,3.377590455146406,-19.938739653796816,-6.138535882349788,4.5678492933884
B_7,3.653061224489796,65.30952380952381,69.88095238095238,61.61224489795918,65.60090702947846,118.83333333333333,0.0,1.0,0.5524044095418172,28.018252743033177,12.223124064851914,28.36949044904037,18.47831182155281,4.174357609265785,-13.1436307133015,-3.2557336084920103,4.109555106911796
B_8,3.080357142857143,36.77083333333333,57.645833333333336,41.875,45.43055555555555,364.0,0.0,0.0,0.4790623433990338,17.62392347269553,17.615027292284744,26.891796737637772,14.49991885985487,1.555600600210317,-20.433607386362876,-7.661335081589549,5.392973582984612
B_9,3.698412698412698,53.574074074074076,51.98148148148148,37.698412698412696,47.75132275132275,216.58333333333334,0.0,1.0,0.4486058019384946,31.41071021243205,13.828926116328203,24.097531887807516,15.165102437754712,3.533885271778575,-10.865551969715844,-2.8619511418877717,3.4442209945864573
