Group,Start,End,Duration (frames),Manual,Emerged,Filter buffer (frames),Notes
A_1,12:22:43,13:05:37,918,0,1,36,Pointwise MI
A_2,13:05:56,13:13:43,2918,1,0,36,
A_3,14:13:21,14:14:52,575,0,1,36,
A_4,14:35:11,14:37:45,794,0,1,36,
A_5,15:06:41,15:12:46,2204,1,0,60,
A_6,16:08:32,16:18:37,2348,0,1,60,
A_7,16:49:32,16:50:04,173,1,0,60,ERROR
A_8,17:13:11,17:28:56,3753,0,0,60,
A_9,17:52:55,18:02:00,4141,0,0,60,
A_10,18:30:45,18:36:00,1140,0,1,60,Experimenters
B_1,12:14:22,12:20:48,2524,0,1,60,
B_2,13:00:33,13:11:27,1072,0,0,60,
B_3,13:29:42,13:34:50,2028,0,1,60,
B_4,14:01:48,14:12:37,4489,0,0,60,
B_5,15:09:07,15:19:28,4029,0,0,60,
B_6,15:33:40,15:42:01,2711,0,1,60,
B_7,16:02:04,16:05:41,1426,0,1,60,
B_8,16:43:03,16:53:45,4368,0,0,60,
B_9,17:16:56,17:23:45,2599,0,1,60,
B_10,17:48:00,17:56:06,3324,0,1,60,
