name,date,time,psi_duration,total_duration,num_players,area_x,area_y,area_z,task
20240207-185759,2024-02-07,18:57:59,970,971,5,4.74,7.43,1.87,circle
20240207-190357,2024-02-07,19:03:57,2005,2205,5,4.74,7.43,1.87,static
20240207-191454,2024-02-07,19:14:54,,1125,5,4.74,7.43,1.87,mostly_static
20240207-192351,2024-02-07,19:23:51,,878,5,4.74,7.43,1.87,line
20240207-193253,2024-02-07,19:32:53,,782,5,4.74,7.43,1.87,line
20240207-194044,2024-02-07,19:40:44,1569,1604,5,4.74,7.43,1.87,circle
20240207-194624,2024-02-07,19:46:24,1948,2044,4,4.74,7.43,1.87,infinity
20240207-200012,2024-02-07,20:00:12,,1381,10,4.74,7.43,1.87,?
20240207-200752,2024-02-07,20:07:52,3270,4049,10,4.74,7.43,1.87,?
20240207-201941,2024-02-07,20:19:41,874,2887,6,4.74,7.43,1.87,?
20240207-202811,2024-02-07,20:28:11,945,2356,6,4.74,7.43,1.87,?
20240207-203724,2024-02-07,20:37:24,1850,3554,6,4.74,7.43,1.87,?
20240217-164828,2024-02-17,16:48:28,,866,12,6.4,8.53,1.89,mostly_static
20240217-171413,2024-02-17,17:14:13,,2362,10,6.4,8.53,1.89,line
20240217-172145,2024-02-17,17:21:45,2346,3173,10,6.4,8.53,1.89,circle
20240217-172854,2024-02-17,17:28:54,1749,2166,10,6.4,8.53,1.89,infinity
20240217-173503,2024-02-17,17:35:03,428,6601,10,6.4,8.53,1.89,prompt
20240217-174712,2024-02-17,17:47:12,,4673,10,6.4,8.53,1.89,circle
20240217-180229,2024-02-17,18:02:29,4278,4581,10,6.4,8.53,1.89,prompt
20240217-181243,2024-02-17,18:12:43,8788,17684,10,6.4,8.53,1.89,prompt
20240217-194928,2024-02-17,19:49:28,2753,6524,10,6.4,8.53,1.89,?
20240217-201008,2024-02-17,20:10:08,1666,2242,10,6.4,8.53,1.89,?
20240217-201538,2024-02-17,20:15:38,4752,4968,10,6.4,8.53,1.89,?
20240217-202502,2024-02-17,20:25:02,1056,1469,10,6.4,8.53,1.89,?
20240217-203031,2024-02-17,20:30:31,1771,5751,10,6.4,8.53,1.89,?
20240217-204359,2024-02-17,20:43:59,3453,3453,10,6.4,8.53,1.89,?
20240221-234432,2024-02-21,23:44:32,,1246,10,4.7,7.39,1.88,?
20240222-001248,2024-02-22,00:12:48,1551,7005,10,4.7,7.39,1.88,SYL
20240222-002821,2024-02-22,00:28:21,939,1238,10,4.7,7.39,1.88,repel
20240222-003108,2024-02-22,00:31:08,6063,6368,10,4.7,7.39,1.88,posneg
20240222-004333,2024-02-22,00:43:33,2278,2839,10,4.7,7.39,1.88,fish
20240222-010859,2024-02-22,01:08:59,1532,1812,10,4.7,7.39,1.88,?
20240222-011256,2024-02-22,01:12:56,1422,1453,10,4.7,7.39,1.88,?
20240222-011648,2024-02-22,01:16:48,7355,7495,10,4.7,7.39,1.88,?
20240222-012906,2024-02-22,01:29:06,5945,8306,10,4.7,7.39,1.88,?

